"['g1', 'tau1']","['g2', 'tau2']",OBJ,G0,G1,G2
1.4738589152805806e-01,4.3145583587399173e+01,6.2260288474617898e-02,1.5623150304267626e+03,1.6063867191735113e-02,-1.0000000000000000e+00,-7.0387013900634371e-02,-7.4810395138320374e-01
1.4738589152805806e-01,4.3145583587399173e+01,6.1950535795639694e-02,1.5701266055788965e+03,1.6134629431085002e-02,-1.0000000000000000e+00,-7.0696766579612574e-02,-7.5244371535661136e-01
1.4524544980668008e-01,4.5382298393094537e+01,6.3830563158069190e-02,1.5307415720549616e+03,1.4867289115766853e-02,-1.0000000000000000e+00,-6.6890341667942901e-02,-7.2435004449416052e-01
1.4656831551277566e-01,4.3999932649977850e+01,6.2668642373476094e-02,1.5502550420484370e+03,1.5633370636633413e-02,-1.0000000000000000e+00,-6.9242841588022006e-02,-7.3903076599919326e-01
1.4606302575817237e-01,4.4527949397175156e+01,6.3112456636261985e-02,1.5428015594923252e+03,1.5338422569502878e-02,-1.0000000000000000e+00,-6.8344266546093144e-02,-7.3342322917024971e-01
1.4575073952214185e-01,4.4854281686799283e+01,6.3386748929662742e-02,1.5381950540337004e+03,1.5157574632885836e-02,-1.0000000000000000e+00,-6.7788916640264915e-02,-7.2995758088872442e-01
1.4555773601834493e-01,4.5055966128931992e+01,6.3556270886069674e-02,1.5353480771541704e+03,1.5046356279849736e-02,-1.0000000000000000e+00,-6.7445691530440763e-02,-7.2781569250528355e-01
1.4543845329552627e-01,4.5180613966585021e+01,6.3661041214794045e-02,1.5335885487139549e+03,1.4977820317223256e-02,-1.0000000000000000e+00,-6.7233566751179585e-02,-7.2649193271168311e-01
1.4597167705571348e-01,4.5382298393094537e+01,6.3830563158069190e-02,1.5307415720549616e+03,1.4904263484148500e-02,-1.0000000000000000e+00,-6.7543946192072948e-02,-7.2435004449416052e-01
1.4524544980668008e-01,4.5609209885060011e+01,6.3830563158069190e-02,1.5307415720549616e+03,1.4794948714235562e-02,-1.0000000000000000e+00,-6.6890341667942901e-02,-7.2371973479425644e-01
1.4524544980668008e-01,4.5382298393094537e+01,6.4149715973859545e-02,1.5307415720549616e+03,1.4808318471213000e-02,-1.0000000000000000e+00,-6.6571188852152546e-02,-7.2435004449416052e-01
1.4524544980668008e-01,4.5382298393094537e+01,6.3830563158069190e-02,1.5383952799152366e+03,1.4887604661580027e-02,-1.0000000000000000e+00,-6.6890341667942901e-02,-7.2860210441653561e-01
1.4075523826753575e-01,5.1887662633699470e+01,6.9661393418559384e-02,1.4280407562290609e+03,1.1403225325574213e-02,-1.0000000000000000e+00,-5.7018321022222804e-02,-6.4922357947809084e-01
1.4353034155529296e-01,4.7867126510895538e+01,6.6057742213003062e-02,1.4915133497069428e+03,1.3513510244095346e-02,-1.0000000000000000e+00,-6.3119565186760596e-02,-6.9565428730692502e-01
1.4247034638510417e-01,4.9402834709773430e+01,6.7434214537397813e-02,1.4672689755163572e+03,1.2695936567854758e-02,-1.0000000000000000e+00,-6.0789097209195952e-02,-6.7791933442638330e-01
1.4181523335561355e-01,5.0351954553783017e+01,6.8284921200791077e-02,1.4522851285415913e+03,1.2197787061282371e-02,-1.0000000000000000e+00,-5.9348788819261117e-02,-6.6695853098482016e-01
1.4141035124591220e-01,5.0938542863743514e+01,6.8810686821541220e-02,1.4430246020347345e+03,1.1892608188004913e-02,-1.0000000000000000e+00,-5.8458629299779755e-02,-6.6018438206445373e-01
1.4116012034587350e-01,5.1301074369178181e+01,6.9135627838536912e-02,1.4373012820185643e+03,1.1705055300919393e-02,-1.0000000000000000e+00,-5.7908480472749241e-02,-6.5599772787370736e-01
1.4145901445887343e-01,5.1887662633699470e+01,6.9661393418559384e-02,1.4280407562290609e+03,1.1451228375925264e-02,-1.0000000000000000e+00,-5.7651719594426706e-02,-6.4922357947809084e-01
1.4075523826753575e-01,5.2147100946867965e+01,6.9661393418559384e-02,1.4280407562290609e+03,1.1329768287858172e-02,-1.0000000000000000e+00,-5.7018321022222804e-02,-6.4850291749706723e-01
1.4075523826753575e-01,5.1887662633699470e+01,7.0009700385652185e-02,1.4280407562290609e+03,1.1343553164485232e-02,-1.0000000000000000e+00,-5.6670014055130002e-02,-6.4922357947809084e-01
1.4075523826753575e-01,5.1887662633699470e+01,6.9661393418559384e-02,1.4351809600102063e+03,1.1421268124522738e-02,-1.0000000000000000e+00,-5.7018321022222804e-02,-6.5319035935650493e-01
1.3683641099366886e-01,5.6497843444190231e+01,7.3839775879799008e-02,1.3529104231985978e+03,9.0558163416640108e-03,-1.0000000000000000e+00,-4.9312994014502967e-02,-5.9467844776535927e-01
1.3925837939249688e-01,5.3648595070741436e+01,7.1257393556692972e-02,1.3993435215917445e+03,1.0491233635163237e-02,-1.0000000000000000e+00,-5.4075147896554238e-02,-6.2838919235446522e-01
1.3833326975191756e-01,5.4736911144542361e+01,7.2243775866190921e-02,1.3816076555968559e+03,9.9371425166143168e-03,-1.0000000000000000e+00,-5.2256166910534890e-02,-6.1551283326341344e-01
1.3776152056258592e-01,5.5409527454694143e+01,7.2853393646709758e-02,1.3706462878196028e+03,9.5982862571720260e-03,-1.0000000000000000e+00,-5.1131974859617568e-02,-6.0755480585896215e-01
1.3740816013839069e-01,5.5825227186518326e+01,7.3230158146844679e-02,1.3638717901206066e+03,9.3902428859580118e-03,-1.0000000000000000e+00,-5.0437185977706939e-02,-6.0263647454889724e-01
1.3718977139049154e-01,5.6082143744567631e+01,7.3463011408849602e-02,1.3596849203728170e+03,9.2621877217042136e-03,-1.0000000000000000e+00,-5.0007782842592788e-02,-5.9959677869443262e-01
1.3752059304863720e-01,5.6497843444190231e+01,7.3839775879799008e-02,1.3529104231985978e+03,9.0890920701262225e-03,-1.0000000000000000e+00,-4.9928757863974479e-02,-5.9467844776535927e-01
1.3683641099366886e-01,5.6780332661411180e+01,7.3839775879799008e-02,1.3529104231985978e+03,8.9819243482775288e-03,-1.0000000000000000e+00,-4.9312994014502967e-02,-5.9389375549530099e-01
1.3683641099366886e-01,5.6497843444190231e+01,7.4208974759198007e-02,1.3529104231985978e+03,8.9893859197481794e-03,-1.0000000000000000e+00,-4.8943795135103968e-02,-5.9467844776535927e-01
1.3683641099366886e-01,5.6497843444190231e+01,7.3839775879799008e-02,1.3596749753145907e+03,9.0750420755022487e-03,-1.0000000000000000e+00,-4.9312994014502967e-02,-5.9843653227424420e-01
1.3346917145046305e-01,6.1287160193995312e+01,7.8232838729656820e-02,1.2728618719218800e+03,6.7656357862011544e-03,-1.0000000000000000e+00,-4.1889415575759925e-02,-5.3690337275105748e-01
1.3555023989134929e-01,5.8327199723841737e+01,7.5517776632540654e-02,1.3223345962894612e+03,8.1611870651935280e-03,-1.0000000000000000e+00,-4.6477439269673709e-02,-5.7261033203902911e-01
1.3475534245243107e-01,5.9457804057076565e+01,7.6554838107838641e-02,1.3034376964453841e+03,7.6198696873754964e-03,-1.0000000000000000e+00,-4.4724970099349323e-02,-5.5897148675555630e-01
1.3426406882780570e-01,6.0156555948341115e+01,7.7195777334693308e-02,1.2917587703021359e+03,7.2902330723925834e-03,-1.0000000000000000e+00,-4.3641884610331819e-02,-5.5054221697801686e-01
1.3396044503675758e-01,6.0588408357249804e+01,7.7591899552810442e-02,1.2845407971538975e+03,7.0885049658878374e-03,-1.0000000000000000e+00,-4.2972500980271389e-02,-5.4533264187091579e-01
1.3377279521799140e-01,6.0855307818539444e+01,7.7836716542224724e-02,1.2800798445109883e+03,6.9646668139568182e-03,-1.0000000000000000e+00,-4.2558799153967541e-02,-5.4211294745460614e-01
1.3413651730771539e-01,6.1287160193995312e+01,7.8232838729656820e-02,1.2728618719218800e+03,6.8375523560101027e-03,-1.0000000000000000e+00,-4.2490026847287032e-02,-5.3690337275105748e-01
1.3346917145046305e-01,6.1593595994965291e+01,7.8232838729656820e-02,1.2728618719218800e+03,6.6912971761520458e-03,-1.0000000000000000e+00,-4.1889415575759925e-02,-5.3605216219280760e-01
1.3346917145046305e-01,6.1287160193995312e+01,7.8624002923305097e-02,1.2728618719218800e+03,6.7120264039369337e-03,-1.0000000000000000e+00,-4.1498251382111648e-02,-5.3690337275105748e-01
1.3346917145046305e-01,6.1287160193995312e+01,7.8232838729656820e-02,1.2792261812814895e+03,6.7774416642553854e-03,-1.0000000000000000e+00,-4.1889415575759925e-02,-5.4043910017306274e-01
